"","CBSA","MDIV","STCOU","NAME","LSAD","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","POPESTIMATE2015","POPESTIMATE2016","POPESTIMATE2017","NPOPCHG_2010","NPOPCHG_2011","NPOPCHG_2012","NPOPCHG_2013","NPOPCHG_2014","NPOPCHG_2015","NPOPCHG_2016","NPOPCHG_2017","BIRTHS2010","BIRTHS2011","BIRTHS2012","BIRTHS2013","BIRTHS2014","BIRTHS2015","BIRTHS2016","BIRTHS2017","DEATHS2010","DEATHS2011","DEATHS2012","DEATHS2013","DEATHS2014","DEATHS2015","DEATHS2016","DEATHS2017","NATURALINC2010","NATURALINC2011","NATURALINC2012","NATURALINC2013","NATURALINC2014","NATURALINC2015","NATURALINC2016","NATURALINC2017","INTERNATIONALMIG2010","INTERNATIONALMIG2011","INTERNATIONALMIG2012","INTERNATIONALMIG2013","INTERNATIONALMIG2014","INTERNATIONALMIG2015","INTERNATIONALMIG2016","INTERNATIONALMIG2017","DOMESTICMIG2010","DOMESTICMIG2011","DOMESTICMIG2012","DOMESTICMIG2013","DOMESTICMIG2014","DOMESTICMIG2015","DOMESTICMIG2016","DOMESTICMIG2017","NETMIG2010","NETMIG2011","NETMIG2012","NETMIG2013","NETMIG2014","NETMIG2015","NETMIG2016","NETMIG2017","RESIDUAL2010","RESIDUAL2011","RESIDUAL2012","RESIDUAL2013","RESIDUAL2014","RESIDUAL2015","RESIDUAL2016","RESIDUAL2017"
"1",10180,NA,NA,"Abilene, TX","Metropolitan Statistical Area",165252,165248,165583,166633,167452,167426,168143,169478,169733,170219,335,1050,819,-26,717,1335,255,486,540,2295,2358,2390,2382,2417,2400,2375,407,1506,1586,1694,1598,1698,1741,1717,133,789,772,696,784,719,659,658,84,213,502,347,335,411,349,279,122,62,-447,-1089,-385,223,-751,-446,206,275,55,-742,-50,634,-402,-167,-4,-14,-8,20,-17,-18,-2,-5
"2",10420,NA,NA,"Akron, OH","Metropolitan Statistical Area",703200,703203,703037,703152,702066,703085,704311,703530,702556,703505,-166,115,-1086,1019,1226,-781,-974,949,1977,7568,7497,7545,7704,7562,7449,7342,1611,6663,7010,6992,6850,7452,7232,7138,366,905,487,553,854,110,217,204,231,1176,1162,1304,1568,1665,1660,1647,-729,-1917,-2699,-765,-1093,-2500,-2847,-877,-498,-741,-1537,539,475,-835,-1187,770,-34,-49,-36,-73,-103,-56,-4,-25
"3",10500,NA,NA,"Albany, GA","Metropolitan Statistical Area",157308,157500,157596,157875,157369,156025,155293,153686,152440,151434,96,279,-506,-1344,-732,-1607,-1246,-1006,545,2335,2183,2211,2061,2032,1927,1881,410,1242,1396,1459,1415,1451,1514,1492,135,1093,787,752,646,581,413,389,17,58,113,123,125,149,139,136,-58,-868,-1428,-2259,-1518,-2362,-1799,-1532,-41,-810,-1315,-2136,-1393,-2213,-1660,-1396,2,-4,22,40,15,25,1,1
"4",10540,NA,NA,"Albany, OR","Metropolitan Statistical Area",116672,116672,116878,118112,118242,118388,119025,120210,122700,125047,206,1234,130,146,637,1185,2490,2347,387,1453,1445,1378,1453,1471,1543,1555,260,1126,1124,1137,1215,1292,1318,1301,127,327,321,241,238,179,225,254,16,20,-6,-33,-14,-9,-2,-3,73,879,-165,-43,421,1015,2265,2090,89,899,-171,-76,407,1006,2263,2087,-10,8,-20,-19,-8,0,2,6
"5",10580,NA,NA,"Albany-Schenectady-Troy, NY","Metropolitan Statistical Area",870716,870720,871159,873206,875586,878628,880140,881551,882801,886188,439,2047,2380,3042,1512,1411,1250,3387,2376,9102,9116,9198,9170,9065,8882,8848,1791,7627,7652,7766,7550,7906,7792,7980,585,1475,1464,1432,1620,1159,1090,868,515,2209,2476,2403,2537,2748,2749,2650,-621,-1551,-1464,-731,-2566,-2436,-2583,-115,-106,658,1012,1672,-29,312,166,2535,-40,-86,-96,-62,-79,-60,-6,-16
"6",10740,NA,NA,"Albuquerque, NM","Metropolitan Statistical Area",887077,887061,889570,896838,900368,902083,902069,903489,906877,910726,2509,7268,3530,1715,-14,1420,3388,3849,2762,11173,11024,10724,10473,10391,10227,10175,1419,6717,6611,6824,7017,7330,7629,7648,1343,4456,4413,3900,3456,3061,2598,2527,205,759,1141,857,1040,1277,1249,1194,965,2095,-1912,-2986,-4439,-2862,-443,168,1170,2854,-771,-2129,-3399,-1585,806,1362,-4,-42,-112,-56,-71,-56,-16,-40
"7",10780,NA,NA,"Alexandria, LA","Metropolitan Statistical Area",153922,153922,154107,154374,154436,154639,154633,154272,154394,153984,185,267,62,203,-6,-361,122,-410,500,2039,2026,2008,2142,2120,2080,2000,374,1481,1586,1728,1554,1695,1625,1611,126,558,440,280,588,425,455,389,33,97,137,127,142,163,165,164,39,-374,-502,-189,-724,-941,-497,-962,72,-277,-365,-62,-582,-778,-332,-798,-13,-14,-13,-15,-12,-8,-1,-1
"8",10900,NA,NA,"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area",821173,821272,821963,824980,826634,826533,829625,832011,835233,840550,691,3017,1654,-101,3092,2386,3222,5317,2191,8715,8654,8633,8681,8460,8582,8521,1957,7882,7660,8172,7817,8392,8012,7949,234,833,994,461,864,68,570,572,453,2230,2453,2704,3098,3257,3368,3369,114,22,-1721,-3236,-762,-849,-699,1420,567,2252,732,-532,2336,2408,2669,4789,-110,-68,-72,-30,-108,-90,-17,-44
"9",11020,NA,NA,"Altoona, PA","Metropolitan Statistical Area",127089,127076,127030,126989,126593,125977,125502,124818,123927,123457,-46,-41,-396,-616,-475,-684,-891,-470,361,1388,1340,1385,1353,1336,1310,1285,387,1595,1502,1666,1526,1638,1639,1649,-26,-207,-162,-281,-173,-302,-329,-364,7,13,23,14,27,28,25,24,-9,173,-240,-338,-311,-401,-583,-123,-2,186,-217,-324,-284,-373,-558,-99,-18,-20,-17,-11,-18,-9,-4,-7
"10",11100,NA,NA,"Amarillo, TX","Metropolitan Statistical Area",251933,251933,252674,255992,257777,258847,260662,261508,263036,264925,741,3318,1785,1070,1815,846,1528,1889,939,3784,3703,3884,3954,3853,3653,3662,600,2154,2199,2350,2316,2400,2387,2315,339,1630,1504,1534,1638,1453,1266,1347,123,625,696,690,781,861,891,892,276,1056,-428,-1196,-624,-1486,-628,-350,399,1681,268,-506,157,-625,263,542,3,7,13,42,20,18,-1,0
"11",11180,NA,NA,"Ames, IA","Metropolitan Statistical Area",89542,89542,89627,90797,91730,93462,95310,96348,96816,97502,85,1170,933,1732,1848,1038,468,686,257,990,906,956,952,895,893,890,86,494,437,477,536,505,521,514,171,496,469,479,416,390,372,376,112,612,639,747,860,904,918,910,-207,61,-167,494,562,-245,-826,-604,-95,673,472,1241,1422,659,92,306,9,1,-8,12,10,-11,4,4
"12",11260,NA,NA,"Anchorage, AK","Metropolitan Statistical Area",380821,380821,383108,388012,392201,396934,398400,399082,401499,400888,2287,4904,4189,4733,1466,682,2417,-611,1483,6121,5900,6046,6170,6154,6052,6047,418,2017,2022,2136,2142,2268,2391,2362,1065,4104,3878,3910,4028,3886,3661,3685,326,817,1458,1195,1081,1251,1005,855,843,0,-1174,-378,-3747,-4560,-2260,-5176,1169,817,284,817,-2666,-3309,-1255,-4321,53,-17,27,6,104,105,11,25
"13",11460,NA,NA,"Ann Arbor, MI","Metropolitan Statistical Area",344791,345066,345515,349102,351333,354714,358635,361815,364752,367627,449,3587,2231,3381,3921,3180,2937,2875,977,3823,3780,3665,3750,3652,3688,3669,548,2059,2077,2140,2150,2167,2244,2349,429,1764,1703,1525,1600,1485,1444,1320,416,1748,1853,1944,2133,2252,2282,2265,-390,115,-1309,-42,248,-510,-792,-701,26,1863,544,1902,2381,1742,1490,1564,-6,-40,-16,-46,-60,-47,3,-9
"14",11500,NA,NA,"Anniston-Oxford-Jacksonville, AL","Metropolitan Statistical Area",118572,118586,118466,117785,117219,116482,115941,115505,114980,114728,-120,-681,-566,-737,-541,-436,-525,-252,317,1383,1358,1308,1317,1387,1343,1342,313,1326,1356,1411,1392,1454,1450,1427,4,57,2,-103,-75,-67,-107,-85,-3,27,43,24,73,77,82,82,-112,-773,-603,-654,-532,-436,-498,-247,-115,-746,-560,-630,-459,-359,-416,-165,-9,8,-8,-4,-7,-10,-2,-2
"15",11540,NA,NA,"Appleton, WI","Metropolitan Statistical Area",225666,225666,225940,227552,228676,229973,231595,233131,234302,236126,274,1612,1124,1297,1622,1536,1171,1824,745,2945,2841,2814,2763,2891,2820,2814,370,1532,1545,1556,1657,1782,1744,1662,375,1413,1296,1258,1106,1109,1076,1152,34,165,197,216,232,254,260,260,-124,48,-348,-151,310,204,-163,426,-90,213,-151,65,542,458,97,686,-11,-14,-21,-26,-26,-31,-2,-14
"16",11700,NA,NA,"Asheville, NC","Metropolitan Statistical Area",424858,424856,425340,428230,431145,436077,440039,444952,450914,456145,484,2890,2915,4932,3962,4913,5962,5231,1068,4350,4396,4435,4347,4602,4470,4544,1132,4517,4411,4741,4703,5020,5055,4991,-64,-167,-15,-306,-356,-418,-585,-447,44,176,32,95,165,235,253,252,506,2840,2881,5053,4080,5040,6291,5407,550,3016,2913,5148,4245,5275,6544,5659,-2,41,17,90,73,56,3,19
"17",12020,NA,NA,"Athens-Clarke County, GA","Metropolitan Statistical Area",192541,192564,193446,194508,196169,197731,198650,202824,205421,209271,882,1062,1661,1562,919,4174,2597,3850,591,2245,2217,2207,2202,2205,2220,2219,349,1259,1231,1307,1386,1420,1383,1403,242,986,986,900,816,785,837,816,95,422,381,450,475,526,536,533,486,-341,268,223,-399,2819,1226,2491,581,81,649,673,76,3345,1762,3024,59,-5,26,-11,27,44,-2,10
"18",12060,NA,NA,"Atlanta-Sandy Springs-Roswell, GA","Metropolitan Statistical Area",5286728,5286743,5303327,5373016,5451561,5517034,5605117,5702331,5795723,5884736,16584,69689,78545,65473,88083,97214,93392,89013,18140,73829,72546,71144,72496,73722,73664,73810,7720,32052,31378,33663,34076,36003,37668,38540,10420,41777,41168,37481,38420,37719,35996,35270,3758,16196,15957,15858,17960,20107,20520,20451,2099,11531,21137,12005,31800,39452,36857,33288,5857,27727,37094,27863,49760,59559,57377,53739,307,185,283,129,-97,-64,19,4
"19",12100,NA,NA,"Atlantic City-Hammonton, NJ","Metropolitan Statistical Area",274549,274540,274761,275107,275732,275954,274842,273088,270830,269918,221,346,625,222,-1112,-1754,-2258,-912,803,3413,3380,3237,3182,3014,2910,2862,546,2571,2465,2651,2535,2633,2817,2758,257,842,915,586,647,381,93,104,326,1535,1496,1355,1462,1590,1622,1609,-352,-2049,-1792,-1714,-3268,-3764,-3976,-2630,-26,-514,-296,-359,-1806,-2174,-2354,-1021,-10,18,6,-5,47,39,3,5
"20",12220,NA,NA,"Auburn-Opelika, AL","Metropolitan Statistical Area",140247,140296,140806,144117,148318,151445,154211,156740,158983,161604,510,3311,4201,3127,2766,2529,2243,2621,412,1631,1662,1830,1831,1912,1956,1947,238,804,880,1042,1118,1087,1023,1048,174,827,782,788,713,825,933,899,113,469,586,504,536,590,572,550,216,1975,2768,1804,1492,1112,735,1166,329,2444,3354,2308,2028,1702,1307,1716,7,40,65,31,25,2,3,6
"21",12260,NA,NA,"Augusta-Richmond County, GA-SC","Metropolitan Statistical Area",564873,564873,566492,570777,576149,579670,583198,589688,594889,600151,1619,4285,5372,3521,3528,6490,5201,5262,1783,7398,7561,7191,7502,7462,7672,7610,1220,4952,4871,5196,5255,5247,5566,5589,563,2446,2690,1995,2247,2215,2106,2021,239,466,1042,680,672,917,693,515,800,1295,1595,792,651,3349,2407,2741,1039,1761,2637,1472,1323,4266,3100,3256,17,78,45,54,-42,9,-5,-15
"22",12420,NA,NA,"Austin-Round Rock, TX","Metropolitan Statistical Area",1716289,1716320,1727495,1780610,1834566,1883528,1942255,2000784,2060558,2115827,11175,53115,53956,48962,58727,58529,59774,55269,6157,25240,24839,25351,26079,26832,27063,27400,1969,8317,8433,9039,9122,9706,10509,10609,4188,16923,16406,16312,16957,17126,16554,16791,1101,5300,5417,6014,7020,8043,8231,8185,5415,30050,31213,26093,33795,32780,34885,30120,6516,35350,36630,32107,40815,40823,43116,38305,471,842,920,543,955,580,104,173
"23",12540,NA,NA,"Bakersfield, CA","Metropolitan Statistical Area",839631,839621,841116,848767,855237,864014,871895,879607,885086,893119,1495,7651,6470,8777,7881,7712,5479,8033,3488,14411,14209,14414,14092,14092,13757,13643,1364,5397,5234,5651,5600,5827,5976,6050,2124,9014,8975,8763,8492,8265,7781,7593,303,1424,1536,1502,1694,2068,2105,2072,-962,-2748,-4091,-1433,-2203,-2544,-4415,-1622,-659,-1324,-2555,69,-509,-476,-2310,450,30,-39,50,-55,-102,-77,8,-10
